file,function,queryType,model,endpoint
"middleware/workspacePermissions.ts","loadMembershipAccess","findUnique","workspaceMembership","(service/worker — no direct HTTP)"
"middleware/workspaceScope.ts","requireWritableSubscription","findUnique","workspace","(companyAuth)"
"modules/ai-agent/cache.service.ts","(module)","findUnique","cachedResponse","(service/worker — no direct HTTP)"
"modules/ai-agent/cache.service.ts","(module)","update","cachedResponse","(service/worker — no direct HTTP)"
"modules/ai-agent/cache.service.ts","(module)","upsert","cachedResponse","(service/worker — no direct HTTP)"
"modules/ai-agent/context-builder.service.ts","(module)","findFirst","aiAgent","(service/worker — no direct HTTP)"
"modules/ai-agent/conversation.service.ts","(module)","findFirst","agentChatConversation","(service/worker — no direct HTTP)"
"modules/ai-agent/conversation.service.ts","(module)","create","agentChatConversation","(service/worker — no direct HTTP)"
"modules/ai-agent/conversation.service.ts","(module)","update","agentChatConversation","(service/worker — no direct HTTP)"
"modules/ai-agent/conversation.service.ts","(module)","create","agentChatMessage","(service/worker — no direct HTTP)"
"modules/ai-agent/hybrid/handle-ai-agent-query.ts","handleAIAgentQuery","findFirst","aiAgent","(service/worker — no direct HTTP)"
"modules/ai-agent/idle-timeout.service.ts","(module)","findUnique","agentChatConversation","(service/worker — no direct HTTP)"
"modules/ai-agent/idle-timeout.service.ts","(module)","update","agentChatConversation","(service/worker — no direct HTTP)"
"modules/ai-agent/idle-timeout.service.ts","(module)","update","agentChatConversation","(service/worker — no direct HTTP)"
"modules/ai-agent/idle-timeout.service.ts","(module)","update","agentChatConversation","(service/worker — no direct HTTP)"
"modules/ai-agent/idle-timeout.service.ts","(module)","findMany","agentChatConversation","(service/worker — no direct HTTP)"
"modules/ai-agent/services/ai-provider-config.service.ts","defaultRow","findUnique","workspaceAiProviderConfig","(service/worker — no direct HTTP)"
"modules/ai-agent/services/ai-provider-config.service.ts","defaultRow","create","workspaceAiProviderConfig","(service/worker — no direct HTTP)"
"modules/ai-agent/services/ai-provider-config.service.ts","(module)","update","workspaceAiProviderConfig","(service/worker — no direct HTTP)"
"modules/ai-agent/services/ai-provider-config.service.ts","(module)","update","workspaceAiProviderConfig","(service/worker — no direct HTTP)"
"modules/ai-agent/services/ai-provider-config.service.ts","(module)","update","workspaceAiProviderConfig","(service/worker — no direct HTTP)"
"modules/ai-agent/token-tracker.service.ts","(module)","findUnique","workspace","(service/worker — no direct HTTP)"
"modules/ai-agent/token-tracker.service.ts","(module)","findUnique","workspaceAiProviderConfig","(service/worker — no direct HTTP)"
"modules/ai-agent/token-tracker.service.ts","(module)","findUnique","workspaceUsageLimits","(service/worker — no direct HTTP)"
"modules/ai-agent/token-tracker.service.ts","(module)","aggregate","tokenUsageLog","(service/worker — no direct HTTP)"
"modules/ai-knowledge/repositories/ai-knowledge.repository.ts","(module)","upsert","aiKnowledgeConfig","(service/worker — no direct HTTP)"
"modules/ai-knowledge/repositories/ai-knowledge.repository.ts","(module)","findUnique","aiKnowledgeConfig","(service/worker — no direct HTTP)"
"modules/ai-knowledge/repositories/ai-knowledge.repository.ts","(module)","upsert","aiKnowledge","(service/worker — no direct HTTP)"
"modules/ai-knowledge/repositories/ai-knowledge.repository.ts","(module)","update","aiKnowledge","(service/worker — no direct HTTP)"
"modules/ai-knowledge/repositories/ai-knowledge.repository.ts","(module)","update","aiKnowledge","(service/worker — no direct HTTP)"
"modules/ai-knowledge/repositories/ai-knowledge.repository.ts","(module)","upsert","aiKnowledge","(service/worker — no direct HTTP)"
"modules/ai-knowledge/repositories/ai-knowledge.repository.ts","(module)","upsert","aiKnowledge","(service/worker — no direct HTTP)"
"modules/ai-knowledge/repositories/ai-knowledge.repository.ts","(module)","findUnique","aiKnowledge","(service/worker — no direct HTTP)"
"modules/ai-knowledge/repositories/ai-knowledge.repository.ts","(module)","findFirst","aiKnowledge","(service/worker — no direct HTTP)"
"modules/billing/billing.service.ts","parseFeatureLimit","findMany","subscriptionPlan","/api/billing/*"
"modules/billing/billing.service.ts","parseFeatureLimit","findUnique","workspace","/api/billing/*"
"modules/billing/billing.service.ts","parseFeatureLimit","findFirst","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","parseFeatureLimit","findMany","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","parseFeatureLimit","findMany","billingAddOnPurchase","/api/billing/*"
"modules/billing/billing.service.ts","(module)","count","contact","/api/billing/*"
"modules/billing/billing.service.ts","(module)","count","workspaceMembership","/api/billing/*"
"modules/billing/billing.service.ts","(module)","count","aiAgent","/api/billing/*"
"modules/billing/billing.service.ts","(module)","count","campaign","/api/billing/*"
"modules/billing/billing.service.ts","(module)","count","emailLog","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findUnique","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","count","whatsAppPhoneAccount","/api/billing/*"
"modules/billing/billing.service.ts","(module)","count","instagramAccount","/api/billing/*"
"modules/billing/billing.service.ts","(module)","count","messengerAccount","/api/billing/*"
"modules/billing/billing.service.ts","toSnapshotItem","findMany","whatsAppPhoneAccount","/api/billing/*"
"modules/billing/billing.service.ts","toSnapshotItem","findMany","instagramAccount","/api/billing/*"
"modules/billing/billing.service.ts","toSnapshotItem","findMany","messengerAccount","/api/billing/*"
"modules/billing/billing.service.ts","toSnapshotItem","findUnique","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findMany","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findMany","billingAddOnPurchase","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findUnique","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","create","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","create","billingAddOnPurchase","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","$transaction","$transaction","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","billingAddOnPurchase","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","billingAddOnPurchase","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findUnique","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","create","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","subscriptionPlan","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","subscriptionPlan","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findUnique","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","create","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","(module)","create","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","meta","findUnique","subscriptionPlan","/api/billing/*"
"modules/billing/billing.service.ts","meta","create","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","meta","update","workspace","/api/billing/*"
"modules/billing/billing.service.ts","meta","findFirst","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","meta","$transaction","$transaction","/api/billing/*"
"modules/billing/billing.service.ts","meta","update","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","meta","create","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findUnique","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","$transaction","$transaction","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","billingAddOnPurchase","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","billingAddOnPurchase","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findUnique","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","workspaceWallet","/api/billing/*"
"modules/billing/billing.service.ts","(module)","updateMany","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","updateMany","billingAddOnPurchase","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","$transaction","$transaction","/api/billing/*"
"modules/billing/billing.service.ts","(module)","create","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","update","workspace","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","(module)","upsert","billingInvoice","/api/billing/*"
"modules/billing/billing.service.ts","(module)","findFirst","billingSubscription","/api/billing/*"
"modules/billing/billing.service.ts","json","findUnique","workspaceUsageLimits","/api/billing/*"
"modules/billing/billing.service.ts","json","create","workspaceUsageLimits","/api/billing/*"
"modules/billing/billing.service.ts","json","update","workspaceUsageLimits","/api/billing/*"
"modules/billing/billing.service.ts","json","upsert","workspaceUsageLimits","/api/billing/*"
"modules/billing/billing.service.ts","(module)","upsert","workspaceUsageLimits","/api/billing/*"
"modules/calling/call-transcript.service.ts","saveCallTranscriptFromExternal","findUnique","callSession","(service/worker — no direct HTTP)"
"modules/calling/call-transcript.service.ts","saveCallTranscriptFromExternal","update","callSession","(service/worker — no direct HTTP)"
"modules/calling/call-transcript.service.ts","emitLiveTranscriptChunk","findUnique","callSession","(service/worker — no direct HTTP)"
"modules/calling/call-transcript.service.ts","transcribeCallRecording","findUnique","callSession","(service/worker — no direct HTTP)"
"modules/calling/call-transcript.service.ts","transcribeCallRecording","update","callSession","(service/worker — no direct HTTP)"
"modules/calling/call-transcript.service.ts","transcribeCallRecording","update","callSession","(service/worker — no direct HTTP)"
"modules/calling/call-transcript.service.ts","text","update","callSession","(service/worker — no direct HTTP)"
"modules/calling/call-transcript.service.ts","text","update","callSession","(service/worker — no direct HTTP)"
"modules/calling/call-transcript.service.ts","text","update","callSession","(service/worker — no direct HTTP)"
"modules/calling/call-transcript.service.ts","getCallTranscript","findFirst","callSession","(service/worker — no direct HTTP)"
"modules/calling/calling.routes.ts","POST /calls/:callId/transcribe","update","callSession","(service/worker — no direct HTTP)"
"modules/calling/calling.service.ts","allocateGuestShortCode","findUnique","callSession","/api/calls*"
"modules/calling/calling.service.ts","resolveCallPresentation","findFirst","conversation","/api/calls*"
"modules/calling/calling.service.ts","resolveCallPresentation","findFirst","contact","/api/calls*"
"modules/calling/calling.service.ts","resolveCallPresentation","findFirst","user","/api/calls*"
"modules/calling/calling.service.ts","resolveCallPresentation","findFirst","aiAgent","/api/calls*"
"modules/calling/calling.service.ts","transitionCall","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","createAndRingCall","findFirst","conversation","/api/calls*"
"modules/calling/calling.service.ts","createAndRingCall","findMany","callSession","/api/calls*"
"modules/calling/calling.service.ts","createAndRingCall","create","callSession","/api/calls*"
"modules/calling/calling.service.ts","createAndRingCall","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","(module)","createMany","callParticipant","/api/calls*"
"modules/calling/calling.service.ts","(module)","updateMany","callSession","/api/calls*"
"modules/calling/calling.service.ts","(module)","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","(module)","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","(module)","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","getCallForWorkspace","findFirst","callSession","/api/calls*"
"modules/calling/calling.service.ts","listCallsForWorkspace","findMany","callSession","/api/calls*"
"modules/calling/calling.service.ts","fresh","findUnique","callSession","/api/calls*"
"modules/calling/calling.service.ts","finalizeRecordingForCall","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","finalizeRecordingForCall","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","completeRecordingJob","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","completeRecordingJob","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","completeRecordingJob","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","acceptCall","updateMany","callSession","/api/calls*"
"modules/calling/calling.service.ts","acceptCall","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","acceptCall","upsert","callParticipant","/api/calls*"
"modules/calling/calling.service.ts","declineCall","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","takeOverCall","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","getGuestCallSession","findFirst","callSession","/api/calls*"
"modules/calling/calling.service.ts","markGuestCallConnected","findFirst","callSession","/api/calls*"
"modules/calling/calling.service.ts","markGuestCallConnected","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","markGuestCallConnected","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","markGuestCallConnected","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","markGuestCallConnected","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","mintGuestCallToken","findFirst","callSession","/api/calls*"
"modules/calling/calling.service.ts","mintGuestCallToken","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","endCallAsGuest","findFirst","callSession","/api/calls*"
"modules/calling/calling.service.ts","getOrRefreshGuestUrl","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","sendGuestCallLinkToConversation","findFirst","conversation","/api/calls*"
"modules/calling/calling.service.ts","sendGuestCallLinkToConversation","findUnique","user","/api/calls*"
"modules/calling/calling.service.ts","sendGuestCallLinkToConversation","create","message","/api/calls*"
"modules/calling/calling.service.ts","sendGuestCallLinkToConversation","updateMany","conversation","/api/calls*"
"modules/calling/calling.service.ts","resendGuestCallLink","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","saveCallAnalytics","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","uploadManualCallRecording","findFirst","conversation","/api/calls*"
"modules/calling/calling.service.ts","ext","create","callSession","/api/calls*"
"modules/calling/calling.service.ts","ext","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","deleteCallRecording","update","callSession","/api/calls*"
"modules/calling/calling.service.ts","resolveGuestShortCode","findFirst","callSession","/api/calls*"
"modules/calling/calling.service.ts","expireStaleCallsForWorkspace","findMany","callSession","/api/calls*"
"modules/calling/calling.service.ts","expireStaleCallsForWorkspace","findMany","callSession","/api/calls*"
"modules/calling/calling.service.ts","expireStaleCallsForWorkspace","findMany","callSession","/api/calls*"
"modules/calling/calling.service.ts","expireStaleCallsForWorkspace","findMany","callSession","/api/calls*"
"modules/calling/voice-agent-trigger.service.ts","findVoiceAgentForConversation","findFirst","aiAgent","(service/worker — no direct HTTP)"
"modules/calling/voice-agent-trigger.service.ts","maybeStartVoiceAgentForCall","update","callSession","(service/worker — no direct HTTP)"
"modules/calling/voice-agent-trigger.service.ts","maybeStartVoiceAgentForCall","update","callSession","(service/worker — no direct HTTP)"
"modules/calling/voice-agent-trigger.service.ts","maybeStartVoiceAgentForCall","update","callSession","(service/worker — no direct HTTP)"
"modules/calling/voice-agent-trigger.service.ts","maybeStartVoiceAgentForCall","update","callSession","(service/worker — no direct HTTP)"
"modules/contact-insight/contact-insight.context.ts","buildInsightContext","findFirst","contact","(service/worker — no direct HTTP)"
"modules/contact-insight/contact-insight.context.ts","buildInsightContext","findMany","conversation","(service/worker — no direct HTTP)"
"modules/contact-insight/contact-insight.context.ts","buildInsightContext","findMany","message","(service/worker — no direct HTTP)"
"modules/contact-insight/contact-insight.context.ts","text","findMany","callSession","(service/worker — no direct HTTP)"
"modules/contact-insight/contact-insight.service.ts","latestInsightAt","findFirst","contactInsight","(service/worker — no direct HTTP)"
"modules/contact-insight/contact-insight.service.ts","computeContactInsight","findFirst","contact","(service/worker — no direct HTTP)"
"modules/contact-insight/contact-insight.service.ts","computeContactInsight","create","contactInsight","(service/worker — no direct HTTP)"
"modules/contact-insight/contact-insight.service.ts","getLatestContactInsight","findFirst","contactInsight","(service/worker — no direct HTTP)"
"modules/contact-insight/contact-insight.service.ts","findContactsNeedingInsight","findMany","conversation","(service/worker — no direct HTTP)"
"modules/contact-insight/contact-insight.service.ts","findContactsNeedingInsight","findMany","callSession","(service/worker — no direct HTTP)"
"modules/contact-insight/contact-insight.tags.ts","applyInsightTags","findFirst","contact","(service/worker — no direct HTTP)"
"modules/contact-insight/contact-insight.tags.ts","applyInsightTags","update","contact","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","randomToken","findUnique","developerIncomingWebhook","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","randomToken","create","developerIncomingWebhook","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","randomToken","update","developerIncomingWebhook","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","randomToken","findUnique","developerIncomingWebhook","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","randomToken","update","developerIncomingWebhook","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","randomToken","findMany","developerOutgoingWebhook","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","randomToken","create","developerOutgoingWebhook","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","randomToken","findFirst","developerOutgoingWebhook","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","randomToken","update","developerOutgoingWebhook","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","randomToken","findFirst","developerOutgoingWebhook","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","delete","developerOutgoingWebhook","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","findMany","developerOutgoingWebhook","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","create","developerWebhookLog","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","findMany","developerWebhookLog","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","findMany","developerAction","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","createMany","developerAction","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","findMany","developerAction","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","upsert","developerAction","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","create","developerSyncEvent","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","findMany","developerSyncEvent","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","update","developerSyncEvent","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","update","developerSyncEvent","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","update","developerSyncEvent","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","count","developerSyncEvent","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","findFirst","developerSyncEvent","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","findUnique","aiKnowledgeConfig","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","findUnique","aiKnowledge","(service/worker — no direct HTTP)"
"modules/developers/repositories/developers.repository.ts","(module)","findMany","developerSyncEvent","(service/worker — no direct HTTP)"
"modules/email/repositories/email.repository.ts","(module)","count","emailDomain","(service/worker — no direct HTTP)"
"modules/email/repositories/email.repository.ts","(module)","count","emailAddress","(service/worker — no direct HTTP)"
"modules/email/repositories/email.repository.ts","(module)","count","emailProviderConfig","(service/worker — no direct HTTP)"
"modules/email/repositories/email.repository.ts","(module)","findUnique","workspace","(service/worker — no direct HTTP)"
"modules/email/repositories/email.repository.ts","(module)","update","workspace","(service/worker — no direct HTTP)"
"modules/email/repositories/email.repository.ts","(module)","$transaction","$transaction","(service/worker — no direct HTTP)"
"modules/email/repositories/email.repository.ts","(module)","deleteMany","emailAddress","(service/worker — no direct HTTP)"
